"Activity ID","Activity Date","Activity Name","Activity Type","Elapsed Time","Moving Time","Distance","Filename","Elevation Gain","Elevation Loss","Average Heart Rate","Max Heart Rate","Average Speed","Max Speed","Average Watts","Max Watts","Calories","Relative Effort"
4,"Oct 01, 2024, 11:35:00 AM","Afternoon Ride","Ride",5486,5268,33892,"",246,237,132,163,6.43,7.9,178,307,863,46
5,"Oct 02, 2024, 8:35:00 AM","Tempo Run","Run",2641,2364,7925,"",59,55,165,176,3.35,4.4,,,471,59
6,"Oct 04, 2024, 6:41:00 AM","Morning Run","Run",2785,2632,6976,"",61,52,148,174,2.65,3.6,,,352,53
7,"Oct 05, 2024, 7:44:00 AM","Long Run","Run",5649,5485,18440,"",93,81,142,166,3.36,4.7,,,1056,49
8,"Oct 07, 2024, 6:25:00 AM","Morning Run","Run",2453,2230,6834,"",36,31,147,173,3.06,4.1,,,336,49
9,"Oct 08, 2024, 10:39:00 AM","Afternoon Ride","Ride",4560,4490,31874,"",191,187,140,154,7.1,8.9,192,305,663,46
10,"Oct 09, 2024, 6:42:00 AM","Tempo Run","Run",2171,2025,7016,"",62,53,160,175,3.46,4.3,,,375,54
11,"Oct 10, 2024, 7:17:00 AM","Morning Run","Run",2697,2461,6763,"",68,62,144,169,2.75,3.8,,,413,50
12,"Oct 11, 2024, 6:35:00 AM","Morning Run","Run",2372,2136,6543,"",69,61,147,175,3.06,4.1,,,285,50
13,"Oct 12, 2024, 7:59:00 AM","Long Run","Run",5584,5325,15716,"",115,109,143,162,2.95,3.9,,,856,48
14,"Oct 14, 2024, 6:54:00 AM","Morning Run","Run",2847,2642,6987,"",60,51,152,170,2.64,3.6,,,517,54
15,"Oct 15, 2024, 9:58:00 AM","Afternoon Ride","Ride",3899,3612,30107,"",267,261,129,158,8.34,10.3,188,311,517,45
16,"Oct 16, 2024, 7:55:00 AM","Tempo Run","Run",2549,2265,8357,"",49,41,157,175,3.69,4.9,,,393,49
17,"Oct 18, 2024, 8:33:00 AM","Morning Run","Run",2367,2208,7130,"",61,54,145,169,3.23,4.1,,,357,45
18,"Oct 19, 2024, 11:59:00 AM","Hard Ride","Ride",6926,6646,50888,"",363,353,149,170,7.66,10.3,216,367,945,48
